bairro,zona,area,quartos,aluguel
Vila Anglo Brasileira ,-oeste,200,2,2800
Vila Anglo Brasileira ,-oeste,350,5,7000
Vila Anglo Brasileira ,-oeste,245,3,5000
Vila Anglo Brasileira ,-oeste,273,3,6200
Vila Anglo Brasileira ,-oeste,100,2,2500
Vila Anglo Brasileira ,-oeste,81,2,3900
Vila Anglo Brasileira ,-oeste,350,,8900
Vila Anglo Brasileira ,-oeste,50,1,1200
Vila Hamburguesa ,-oeste,95,,4000
Vila Hamburguesa ,-oeste,150,3,4500
Vila Hamburguesa ,-oeste,350,3,5500
Vila Hamburguesa ,-oeste,80,1,2000
Vila Hamburguesa ,-oeste,40,,2090
Vila Hamburguesa ,-oeste,300,12,8000
Vila Hamburguesa ,-oeste,200,3,8000
Vila Hamburguesa ,-oeste,150,2,4000
Vila Hamburguesa ,-oeste,80,2,4000
Vila Hamburguesa ,-oeste,80,2,4000
Vila Hamburguesa ,-oeste,150,3,4500
Vila Hamburguesa ,-oeste,400,5,7000
Vila Hamburguesa ,-oeste,300,1,8000
Vila Hamburguesa ,-oeste,150,2,4000
Vila Hamburguesa ,-oeste,70,3,8500
Vila Hamburguesa ,-oeste,300,,7000
Vila Hamburguesa ,-oeste,125,3,2200
Vila Hamburguesa ,-oeste,100,2,4501
Vila Hamburguesa ,-oeste,50,2,1600
Vila Hamburguesa ,-oeste,150,2,4000
Vila Hamburguesa ,-oeste,300,4,4000
Lar São Paulo ,-oeste,212,3,6200
Lar São Paulo ,-oeste,300,5,5000
Lar São Paulo ,-oeste,250,3,6000
Lar São Paulo ,-oeste,300,5,5000
Lar São Paulo ,-oeste,581,4,10000
Lar São Paulo ,-oeste,581,4,10000
Lar São Paulo ,-oeste,343,4,5500
Lar São Paulo ,-oeste,343,4,5500
Lar São Paulo ,-oeste,330,4,6200
Lar São Paulo ,-oeste,330,4,6200
Lar São Paulo ,-oeste,150,3,3800
Lar São Paulo ,-oeste,150,3,3800
Lar São Paulo ,-oeste,340,4,4500
Jardim Monte Kemel ,-oeste,50,1,900
Jardim Monte Kemel ,-oeste,40,1,900
Jardim Monte Kemel ,-oeste,40,1,950
