zona,area_quartos,enderecos_lista,aluguel
zona-norte,179 m² construídos3 quartos,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",3.500
zona-norte,31 m² construídos1 quarto,"Rua Torres Da Barra, Jardim Peri, São Paulo Zona Norte, São Paulo",1.600
zona-norte,20 m² construídos1 quarto,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",500
zona-norte,81 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.750
zona-norte,50 m² construídos2 quartos,"Rua Padre Leão Peruche, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.733
zona-norte,36 m² construídos1 quarto,"Avenida Jardim Japão, Jardim Brasil, São Paulo Zona Norte, São Paulo",860
zona-norte,60 m² construídos1 quarto,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.355
zona-norte,50 m² construídos1 quarto,"Avenida Fuad Lutfalla, Vila Maria Trindade, São Paulo Zona Norte, São Paulo",1.350
zona-norte,60 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.108
zona-norte,55 m² construídos1 quarto,"Rua Antônio De Paula Freitas, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",900
zona-norte,50 m² construídos2 quartos,"Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.100
zona-norte,30 m² construídos1 quarto,"Alameda Afonso Schmidt, Santa Teresinha, São Paulo Zona Norte, São Paulo",916
zona-norte,30 m² construídos1 quarto,"Rua Caetano Desco, Vila Baruel, São Paulo Zona Norte, São Paulo",1.150
zona-norte,87 m² construídos1 quarto,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",4.700
zona-norte,40 m² construídos1 quarto,"Rua Cônego Luís Gonzaga Biazi, Carandiru, São Paulo Zona Norte, São Paulo",1.131
zona-norte,50 m² construídos2 quartos,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",1.400
zona-norte,55 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.000
zona-norte,45 m² construídos1 quarto,"Rua Manuel Correia, Vila Palmeiras, São Paulo Zona Norte, São Paulo",800
zona-norte,50 m² construídos1 quarto,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",1.000
zona-norte,80 m² construídos2 quartos,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.299
zona-norte,30 m² construídos1 quarto,"Rua Rodolfo Bardela 335, Brasilândia, São Paulo Zona Norte, São Paulo",620
zona-norte,50 m² construídos1 quarto,"Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",799
zona-norte,110 m² construídos2 quartos,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2.200
zona-norte,70 m² construídos2 quartos,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800
zona-norte,60 m² construídos2 quartos,"Rua Jamunda 79, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.180
zona-norte,10 m² construídos1 quarto,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",800
zona-norte,58 m² construídos2 quartos,"Rua Outeiro Da Cruz, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.550
zona-norte,600 m² construídos,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",10.000
zona-norte,270 m² construídos3 quartos,"Rua General Isidoro Dias Lopes,
                287, Vila Amália, São Paulo Zona Norte, São Paulo",3.000
zona-norte,450 m² construídos4 quartos,"Rua Estrela Do Indaiá,
                172, Vila Albertina, São Paulo Zona Norte, São Paulo",8.500
zona-norte,115 m² construídos2 quartos,"Narita 416, Jardim Japão, São Paulo Zona Norte, São Paulo",2.400
